Target_genes	E2F4|Average	SRX027401|Adipocytes	SRX019963|GM06990	SRX150410|GM12878	SRX150445|HeLa	SRX668217|HRPEpiC	SRX150679|K-562	SRX194566|MCF-7	SRX194567|MCF-7	SRX150480|MCF_10A	STRING
SLFN13	223.444444	0	0	519	0	0	0	0	0	1492	0
DDX42	223.444444	149	0	181	293	0	307	266	0	815	0
CCDC47	223.444444	149	0	181	293	0	307	266	0	815	0
TUBD1	223.333333	0	0	158	100	0	199	1022	293	238	0
RPS6KB1	223.333333	0	0	158	100	0	199	1022	293	238	0
PEX12	223.333333	0	0	0	128	0	444	368	0	1070	0
CCSAP	223.333333	235	0	209	138	119	390	0	0	919	0
ZNF771	223.222222	240	0	0	200	0	127	624	0	818	0
POLR2M	223.222222	0	0	280	359	0	394	120	0	856	0
AK1	223.222222	385	0	0	272	0	201	228	0	923	0
ABHD2	223.222222	0	0	110	290	0	274	237	0	1098	0
PGAP2	223.111111	159	0	81	173	0	445	0	0	1150	0
NUP98	223.111111	159	0	81	173	0	445	0	0	1150	0
ZNF613	222.444444	0	0	0	0	0	0	228	0	1774	0
LAP3	222.222222	0	0	111	0	0	367	514	0	1008	0
RNF168	222.111111	0	0	104	517	0	553	158	0	667	0
PDS5B	222.111111	136	0	290	139	0	183	0	0	1251	0
HCCS	222.111111	237	0	0	183	0	120	595	0	864	0
C14orf93	222.111111	0	0	0	385	0	469	204	0	941	0
USP14	222.000000	123	0	67	149	0	588	236	0	835	0
FADS2	222.000000	246	154	460	242	0	308	126	0	462	0
DERL1	221.555556	156	0	0	247	0	199	370	0	1022	0
CPT2	221.555556	139	0	0	278	0	397	0	0	1180	0
DHRS7B	221.333333	172	0	124	136	0	150	409	0	1001	0
CENPBD1	221.333333	170	188	213	185	0	469	272	0	495	0
CAV1	221.333333	292	0	0	224	0	228	279	0	969	0
VKORC1	221.222222	178	0	128	505	0	143	294	0	743	0
USPL1	221.222222	121	0	160	202	0	323	279	0	906	0
SDSL	221.222222	0	0	178	147	0	0	231	0	1435	0
PRSS53	221.222222	178	0	128	505	0	143	294	0	743	0
TRIP6	220.888889	192	0	148	353	0	353	233	0	709	0
SRRT	220.888889	192	0	148	353	0	353	233	0	709	0
BTG1	220.888889	0	0	126	0	0	288	191	0	1383	0
TMEM60	220.222222	193	0	0	312	0	401	240	0	836	0
PHTF2	220.222222	193	0	0	312	0	401	240	0	836	0
STIM1	220.111111	0	174	237	252	0	477	0	0	841	0
MED25	220.111111	0	0	266	163	0	179	413	0	960	0
FUZ	220.111111	0	0	266	163	0	179	413	0	960	0
C1orf74	220.111111	0	0	90	305	0	499	137	0	950	0
H2BC6	220.000000	0	0	191	0	0	497	212	0	1080	0
FH	220.000000	0	0	0	118	0	120	182	0	1560	0
ATF2	220.000000	78	0	119	0	0	429	0	0	1354	0
TEX30	219.666667	446	163	201	549	0	351	0	0	267	0
ABHD17A	219.666667	207	0	210	442	0	291	0	0	827	0
SERTAD3	219.555556	343	0	335	166	0	413	0	0	719	0
HNF1A	219.444444	108	0	282	0	0	0	230	138	1217	0
SUPT16H	219.333333	0	0	353	472	0	220	206	0	723	0
SF3A3	219.333333	289	0	245	491	0	378	139	0	432	0
GTF3C5	219.333333	129	0	301	173	0	290	269	0	812	0
KDELR2	219.222222	179	0	147	229	0	457	396	0	565	0
ROM1	219.111111	160	0	184	451	0	436	0	0	741	0
EML3	219.111111	160	0	184	451	0	436	0	0	741	0
B3GAT3	219.111111	160	0	184	451	0	436	0	0	741	0
SNAP29	218.888889	0	0	129	136	0	1184	0	0	521	0
PNPO	218.888889	0	0	0	115	0	205	376	0	1274	0
PI4KA	218.888889	0	0	129	136	0	1184	0	0	521	0
NAP1L1	218.888889	0	0	216	363	0	248	183	0	960	0
NUP50	218.666667	174	123	322	162	0	164	0	0	1023	0
FNIP1	218.666667	188	0	199	138	0	286	0	0	1157	0
BAG6	218.666667	0	0	140	357	0	609	238	0	624	0
ADGRF3	218.444444	132	0	342	263	0	244	300	206	479	0
TADA2A	218.222222	200	0	180	401	0	299	0	0	884	0
ACACA	218.222222	200	0	180	401	0	299	0	0	884	0
ZNF83	218.111111	132	0	195	130	0	349	391	0	766	0
ZBTB32	218.111111	167	0	251	0	0	150	262	0	1133	0
DENND4A	218.111111	97	0	204	392	0	271	254	0	745	0
ZNF106	217.666667	205	0	119	416	0	210	151	0	858	0
SNAP23	217.666667	205	0	119	416	0	210	151	0	858	0
RBBP8	217.666667	144	0	152	619	0	445	0	0	599	0
DHDDS	217.555556	111	0	137	185	0	822	0	0	703	0
SQSTM1	217.444444	0	0	213	188	0	633	0	0	923	0
SCRIB	217.444444	262	0	334	0	0	323	0	0	1038	0
NUP93	217.444444	172	0	379	127	0	370	0	0	909	0
TMEM104	216.888889	192	0	139	0	0	303	0	0	1318	0
NAT9	216.888889	192	0	139	0	0	303	0	0	1318	0
HDGF	216.666667	108	0	187	192	0	483	188	0	792	0
COX20	216.666667	168	0	0	448	0	539	0	0	795	0
TEX10	216.333333	258	0	239	315	0	437	143	0	555	0
COX10	216.333333	202	0	125	184	0	127	170	0	1139	0
NUP210	216.222222	0	0	828	355	0	763	0	0	0	0
LSM11	216.222222	289	0	476	114	0	225	0	0	842	0
PHGDH	216.111111	0	0	0	432	0	0	430	0	1083	0
PDF	216.111111	250	0	0	179	0	312	0	0	1204	0
NIP7	216.111111	250	0	0	179	0	312	0	0	1204	0
METTL1	216.111111	128	0	305	175	0	185	331	0	821	0
EEF1AKMT3	216.111111	128	0	305	175	0	185	331	0	821	0
CYP27B1	216.111111	128	0	305	175	0	185	331	0	821	0
COG8	216.111111	250	0	0	179	0	312	0	0	1204	0
ZNF3	215.888889	0	0	730	0	0	388	427	213	185	0
RPLP0	215.888889	0	0	305	272	0	397	259	0	710	0
GCN1	215.888889	0	0	305	272	0	397	259	0	710	0
COPS6	215.888889	0	0	730	0	0	388	427	213	185	0
GPR3	215.666667	260	0	0	0	0	694	0	0	987	0
CD164L2	215.666667	260	0	0	0	0	694	0	0	987	0
BRAF	215.444444	207	0	119	157	0	797	0	0	659	0
HSPA8	215.333333	126	0	140	248	0	513	0	0	911	0
UACA	215.222222	186	0	0	148	0	0	229	0	1374	0
MED26	215.222222	200	0	105	212	0	323	103	0	994	0
LCORL	215.222222	0	0	103	185	0	458	128	0	1063	0
KCNH4	215.222222	215	0	567	0	0	1155	0	0	0	0
HCRT	215.222222	215	0	567	0	0	1155	0	0	0	0
ULBP2	215.111111	151	0	0	0	0	106	312	0	1367	0
TOP3A	215.000000	285	0	0	413	0	277	94	0	866	0
SMCR8	215.000000	285	0	0	413	0	277	94	0	866	0
HSF2	215.000000	182	0	98	132	0	526	163	0	834	0
CLCC1	214.888889	116	0	137	215	0	369	278	0	819	0
DNAJB5	214.777778	105	0	145	79	0	0	225	0	1379	0
RHBDD2	214.555556	162	0	156	342	0	553	0	0	718	0
BTG3	213.888889	107	0	0	355	0	591	0	0	872	0
KANSL1	213.777778	192	0	0	587	0	505	0	0	640	0
CNFN	213.777778	248	0	557	0	0	124	297	0	698	0
PSMD4	213.666667	0	0	149	0	0	182	645	152	795	0
STAT2	213.555556	122	0	111	170	0	196	331	0	992	0
CDC5L	213.555556	203	0	159	359	0	632	0	0	569	0
APOF	213.555556	122	0	111	170	0	196	331	0	992	0
POC1B-GALNT4	213.444444	207	0	254	343	0	231	365	0	521	0
POC1B	213.444444	207	0	254	343	0	231	365	0	521	0
HNRNPF	213.444444	0	0	278	195	0	626	159	0	663	0
GALNT4	213.444444	207	0	254	343	0	231	365	0	521	0
TENT5C	213.333333	172	0	135	184	0	265	349	0	815	0
PLEC	213.222222	223	0	202	0	0	177	392	0	925	0
FOXJ3	212.777778	0	0	0	137	0	277	0	0	1501	0
ZNF283	212.666667	0	0	198	0	0	0	748	222	746	0
TUBG1	212.666667	76	0	0	494	0	322	139	0	883	0
RETREG3	212.666667	76	0	0	494	0	322	139	0	883	0
LYPD5	212.666667	0	0	198	0	0	0	748	222	746	0
BOD1	212.666667	0	0	98	0	0	387	85	0	1344	0
ZNF507	212.555556	0	0	0	111	0	176	339	0	1287	0
LMLN	212.555556	141	0	0	171	0	334	342	0	925	0
P4HB	212.222222	0	0	148	75	0	258	303	0	1126	0
FAM98C	212.000000	154	0	0	128	0	328	0	0	1298	0
MESP1	211.888889	121	0	0	638	0	334	0	0	814	0
LYPLA2	211.888889	185	0	163	279	0	566	0	0	714	0
GALE	211.888889	185	0	163	279	0	566	0	0	714	0
IRS2	211.777778	193	0	0	0	0	649	0	0	1064	0
CLEC4O	211.777778	0	0	0	0	0	0	147	0	1759	0
PSMD14	211.666667	195	0	275	239	0	371	177	0	648	0
KDM5B	211.666667	0	0	158	0	0	148	189	0	1410	0
THAP9	211.555556	155	0	177	161	0	262	240	0	909	0
SEC31A	211.555556	155	0	177	161	0	262	240	0	909	0
ZDHHC5	211.444444	148	0	114	136	0	293	0	0	1212	0
SAP30BP	211.222222	0	0	115	109	0	252	557	0	868	0
RECQL5	211.222222	0	0	115	109	0	252	557	0	868	0
PARS2	211.111111	165	0	148	208	0	393	0	0	986	0
ELF2	210.555556	0	0	77	240	0	337	135	0	1106	0
PUS1	210.444444	156	0	175	0	0	607	195	0	761	0
NAA40	210.444444	146	0	208	227	0	364	368	0	581	0
MAP3K20	210.222222	416	0	0	235	0	365	319	0	557	0
HNRNPL	210.222222	0	0	309	127	0	267	299	0	890	0
CNTRL	210.222222	138	0	168	613	0	416	219	0	338	0
TLCD1	210.111111	0	0	212	165	0	258	247	0	1009	0
RPL23A	210.111111	0	0	212	165	0	258	247	0	1009	0
RAB34	210.111111	0	0	212	165	0	258	247	0	1009	0
NEK8	210.111111	0	0	212	165	0	258	247	0	1009	0
PRMT3	210.000000	156	0	98	388	0	277	106	0	865	0
CDC14A	210.000000	364	0	352	0	0	103	547	0	524	0
WHAMM	209.777778	0	0	0	0	0	0	840	261	787	0
MRPL42	209.777778	0	0	0	198	0	266	382	0	1042	0
FSD2	209.777778	0	0	0	0	0	0	840	261	787	0
ZC3H6	209.666667	156	0	158	232	0	287	196	0	858	0
ICMT	209.555556	145	0	0	427	0	799	0	0	515	0
HES3	209.555556	145	0	0	427	0	799	0	0	515	0
ZBTB45	209.333333	151	0	252	260	0	705	0	0	516	0
TENT4A	209.333333	298	0	188	418	0	276	153	0	551	0
DCPS	209.333333	707	0	0	146	0	205	234	0	592	0
WASF2	209.111111	0	0	0	335	0	531	0	0	1016	0
MPC2	209.000000	0	0	0	565	0	593	0	0	723	0
KLHL25	209.000000	305	0	170	0	0	113	0	0	1293	0
DCAF6	209.000000	0	0	0	565	0	593	0	0	723	0
GSK3A	208.777778	0	0	206	169	0	305	166	0	1033	0
TJAP1	208.666667	181	0	154	0	0	658	167	0	718	0
TMUB1	208.444444	136	0	95	220	0	672	230	0	523	0
SLC35A1	208.444444	134	0	0	88	0	0	773	196	685	0
NCBP3	208.444444	208	0	144	0	0	350	0	0	1174	0
HEXIM1	208.444444	0	0	167	120	0	326	212	0	1051	0
FASTK	208.444444	136	0	95	220	0	672	230	0	523	0
AGAP3	208.444444	136	0	95	220	0	672	230	0	523	0
PIGX	208.333333	167	0	200	359	0	505	142	0	502	0
CEP19	208.333333	167	0	200	359	0	505	142	0	502	0
ZNF589	208.222222	0	0	91	179	0	646	127	0	831	0
RAD51D	208.000000	0	0	183	643	0	483	0	0	563	0
FNDC8	208.000000	0	0	183	643	0	483	0	0	563	0
TBX10	207.888889	0	0	160	271	0	179	306	0	955	0
POLI	207.888889	233	0	177	197	0	293	182	0	789	0
AMZ1	207.888889	0	0	168	196	0	342	368	0	797	0
PCIF1	207.666667	0	0	144	219	0	574	124	0	808	0
SPDYE6	207.555556	0	0	135	107	0	410	143	0	1073	0
PRXL2B	207.555556	178	0	132	0	0	267	0	0	1291	0
LOC100289561	207.555556	0	0	135	107	0	410	143	0	1073	0
RNF20	207.444444	121	0	0	309	0	0	168	0	1269	0
MSTO1	207.333333	213	0	124	188	0	273	192	0	876	0
CWF19L1	207.333333	550	0	134	504	0	267	125	0	286	0
PSME1	207.222222	136	0	164	189	0	96	103	0	1177	0
MBOAT1	207.222222	256	0	0	243	0	212	0	0	1154	0
YTHDF3	207.111111	195	0	133	258	0	249	155	0	874	0
RTL10	207.000000	255	0	0	193	0	845	111	0	459	0
RNF40	207.000000	0	0	161	155	0	167	279	0	1101	0
PMS1	207.000000	187	0	183	293	0	272	121	0	807	0
ORMDL1	207.000000	187	0	183	293	0	272	121	0	807	0
GNB1L	207.000000	255	0	0	193	0	845	111	0	459	0
CCDC189	207.000000	0	0	161	155	0	167	279	0	1101	0
SLC1A5	206.888889	0	0	145	293	0	219	316	0	889	0
MAGT1	206.777778	0	0	0	242	0	112	196	0	1311	0
COX7B	206.777778	0	0	0	242	0	112	196	0	1311	0
KATNA1	206.666667	163	0	171	236	0	684	170	0	436	0
EMILIN2	206.333333	0	0	223	0	0	461	551	259	363	0
OPA1	206.222222	181	0	333	400	0	197	233	0	512	0
HIBADH	206.222222	217	0	181	129	0	224	330	0	775	0
ANKRD36	206.222222	127	0	145	460	0	248	155	0	721	0
ITPRIP	206.111111	247	0	309	146	0	0	376	0	777	0
RPN1	206.000000	0	0	166	232	0	235	272	0	949	0
POLRMT	205.111111	0	0	123	189	0	508	0	0	1026	0
FGF22	205.111111	0	0	123	189	0	508	0	0	1026	0
ZNF624	205.000000	0	0	133	276	0	167	140	0	1129	0
REEP4	204.777778	477	0	356	0	0	217	168	0	625	0
MAT2A	204.777778	179	0	93	426	0	613	0	0	532	0
EIF3B	204.777778	0	0	120	510	0	714	0	0	499	0
SLC16A6	204.666667	0	0	150	147	0	0	1036	340	169	0
ARSG	204.666667	0	0	150	147	0	0	1036	340	169	0
ARF6	204.666667	0	0	136	356	0	317	236	107	690	0
TULP2	204.555556	0	0	0	156	0	351	0	0	1334	0
NUCB1	204.555556	0	0	0	156	0	351	0	0	1334	0
TEKT2	204.222222	0	0	259	257	0	414	146	0	762	0
RNF5	204.222222	0	0	603	0	0	152	177	0	906	0
AGPAT1	204.222222	0	0	603	0	0	152	177	0	906	0
AGER	204.222222	0	0	603	0	0	152	177	0	906	0
ADPRS	204.222222	0	0	259	257	0	414	146	0	762	0
SAAL1	204.111111	221	0	151	354	91	454	221	0	345	0
H2BU1	204.111111	0	0	509	0	65	235	0	0	1028	0
H2AW	204.111111	0	0	509	0	65	235	0	0	1028	0
FOXRED2	204.111111	421	159	326	200	0	301	130	0	300	0
FLVCR1	204.111111	152	0	0	214	0	213	0	0	1258	0
ZNF503	204.000000	188	0	376	150	0	0	0	0	1122	0
PSMB2	204.000000	0	0	155	382	0	418	243	0	638	0
NCOA5	203.888889	144	0	0	494	0	363	0	0	834	0
SACM1L	203.777778	232	0	150	212	0	297	181	0	762	0
DR1	203.777778	157	0	0	477	0	538	0	0	662	0
COX17	203.555556	0	0	215	199	0	152	458	0	808	0
C5	203.555556	138	0	168	613	0	416	159	0	338	0
VHL	203.000000	149	0	0	251	0	371	0	0	1056	0
DYM	203.000000	0	0	0	302	0	319	223	0	983	0
COPS8	202.888889	248	0	188	243	0	168	0	0	979	0
MRPL24	202.777778	0	0	170	192	0	483	188	0	792	0
WDR81	202.444444	190	0	258	0	0	0	421	0	953	0
TLCD2	202.444444	190	0	258	0	0	0	421	0	953	0
PDSS1	202.333333	544	0	308	0	0	110	226	0	633	0
TSPAN31	202.222222	164	0	165	380	0	412	0	0	699	0
MICU1	202.222222	114	0	0	190	0	661	125	0	730	0
KAT8	202.222222	177	0	328	0	0	221	282	0	812	0
CDK4	202.222222	164	0	165	380	0	412	0	0	699	0
BCKDK	202.222222	177	0	328	0	0	221	282	0	812	0
LOC101928764	202.111111	172	0	260	377	0	195	245	0	570	0
CDK5RAP1	202.111111	230	0	466	122	0	177	356	0	468	0
FMNL3	202.000000	308	0	146	244	0	574	231	0	315	0
SMDT1	201.888889	261	0	241	0	0	357	84	0	874	0
PHETA2	201.888889	261	0	241	0	0	357	84	0	874	0
NAGA	201.888889	261	0	241	0	0	357	84	0	874	0
CLK3	201.777778	113	0	205	0	0	198	643	147	510	0
CDCA7L	201.666667	249	0	267	676	0	116	0	0	507	0
AKTIP	201.666667	319	0	218	0	0	105	141	0	1032	0
PURB	201.222222	141	0	183	217	0	544	240	0	486	0
TGDS	201.111111	0	0	132	129	0	165	146	0	1238	0
MRPL35	201.111111	0	0	154	265	0	257	136	0	998	0
IMMT	201.111111	0	0	154	265	0	257	136	0	998	0
HNRNPR	201.111111	116	0	190	216	0	507	0	0	781	0
GPR180	201.111111	0	0	132	129	0	165	146	0	1238	0
CFDP1	201.000000	0	0	240	444	0	481	154	0	490	0
KIF21A	200.888889	203	0	174	273	0	286	159	0	713	0
PROCA1	200.777778	0	0	154	165	0	232	247	0	1009	0
TMEM39B	200.555556	258	0	127	199	0	415	0	0	806	0
PPP1R12A	200.444444	205	0	200	281	0	376	148	0	594	0
BTAF1	200.333333	294	0	105	482	0	211	187	0	524	0
SPAG9	199.888889	187	0	0	173	0	217	0	0	1222	0
RPUSD2	199.888889	184	0	197	126	0	138	165	0	989	0
CCDC32	199.888889	184	0	197	126	0	138	165	0	989	0
CAMK2N2	199.888889	0	0	0	981	0	0	201	0	617	0
ZC2HC1C	199.666667	109	0	0	633	0	352	151	0	552	0
ACYP1	199.666667	109	0	0	633	0	352	151	0	552	0
ATXN2L	199.555556	138	0	278	148	0	193	144	0	895	0
EFHC1	199.444444	162	0	146	379	0	435	249	0	424	0
RALGAPA2	199.333333	223	0	184	236	0	130	192	0	829	0
EIF2B2	199.111111	137	0	107	142	0	225	0	0	1181	0
PHLPP1	199.000000	169	0	0	0	0	390	0	0	1232	0
TTC31	198.888889	0	0	440	155	0	172	245	0	778	0
PMAIP1	198.888889	116	0	132	324	0	163	142	0	913	0
EAPP	198.888889	0	0	256	158	0	505	190	0	681	0
CCDC142	198.888889	0	0	440	155	0	172	245	0	778	0
BLOC1S5	198.888889	0	0	99	190	0	457	119	0	925	0
USP39	198.777778	99	0	146	366	0	257	96	0	825	0
C2orf68	198.777778	99	0	146	366	0	257	96	0	825	0
PFAS	198.666667	247	0	402	0	0	214	246	0	679	0
LOC389831	198.666667	0	0	0	0	0	355	509	172	752	0
FHL3	198.666667	289	0	0	491	0	336	0	0	672	0
CTC1	198.666667	247	0	402	0	0	214	246	0	679	0
VPS45	198.333333	121	0	0	248	0	100	412	0	904	0
TNFAIP8L2	198.222222	0	0	176	283	0	292	233	0	800	0
ZBTB7A	198.111111	0	0	0	0	0	208	0	0	1575	0
TMEM14A	198.111111	0	0	102	119	0	197	161	0	1204	0
ATP23	198.000000	85	0	108	315	0	250	136	0	888	0
MRPS15	197.777778	0	0	240	214	0	488	117	0	721	0
EEF1A1	197.555556	116	0	119	0	0	290	0	0	1253	0
PDIK1L	197.111111	223	0	0	295	0	577	0	0	679	0
COA1	197.111111	0	0	0	396	0	266	310	0	802	0
SYNCRIP	196.888889	270	0	151	262	0	345	0	0	744	0
ING1	196.777778	176	0	175	320	0	224	136	0	740	0
CARS2	196.777778	176	0	175	320	0	224	136	0	740	0
ZMYND19	196.666667	150	0	225	170	0	521	269	0	435	0
BOLA3	196.666667	188	0	203	0	0	126	152	0	1101	0
SRP9	196.555556	0	0	137	375	0	152	277	0	828	0
CEP68	196.555556	287	0	118	0	0	183	175	0	1006	0
FIP1L1	196.333333	207	0	157	0	0	328	255	0	820	0
TUT1	196.222222	0	0	256	254	0	312	211	0	733	0
TAF9B	196.222222	209	0	0	414	0	266	177	0	700	0
NAA80	196.222222	143	0	178	149	0	190	0	0	1106	0
MTA2	196.222222	0	0	256	254	0	312	211	0	733	0
IFRD2	196.222222	143	0	178	149	0	190	0	0	1106	0
HYAL3	196.222222	143	0	178	149	0	190	0	0	1106	0
FAM168A	196.111111	121	0	105	372	0	421	0	0	746	0
ATF7IP	196.000000	109	0	305	348	0	243	182	0	577	0
SENP7	195.888889	252	0	0	155	0	0	501	0	855	0
TMEM109	195.666667	0	0	158	277	0	307	127	0	892	0
PRPF19	195.666667	0	0	158	277	0	307	127	0	892	0
TCTN2	195.444444	215	0	213	0	0	227	243	0	861	0
POLR2E	195.333333	170	0	135	93	0	221	0	0	1139	0
GPX4	195.333333	170	0	135	93	0	221	0	0	1139	0
RPAP3	195.222222	188	0	82	187	0	180	229	0	891	0
UBR4	195.111111	154	0	0	380	0	507	0	0	715	0
PAPOLA	195.111111	158	0	0	462	0	213	355	0	568	0
EIF4A3	195.111111	113	0	256	203	0	185	193	0	806	0
CCDC116	194.777778	177	0	0	0	0	518	100	0	958	0
TTC7A	194.666667	0	0	0	343	0	281	159	0	969	0
SUMO2	194.666667	123	0	221	339	0	682	0	0	387	0
MCFD2	194.666667	0	0	0	343	0	281	159	0	969	0
HAGH	194.666667	195	115	264	0	0	176	119	0	883	0
FAHD1	194.666667	195	115	264	0	0	176	119	0	883	0
RNF122	194.555556	421	0	154	204	126	0	272	0	574	0
B2M	194.555556	0	0	233	463	0	383	0	0	672	0
RGS14	194.444444	0	0	0	216	0	395	0	0	1139	0
LMAN2	194.444444	0	0	0	216	0	395	0	0	1139	0
TIMM23B	194.333333	184	0	0	162	0	303	372	0	728	0
PARG	194.333333	184	0	0	162	0	303	372	0	728	0
DNAJC21	194.111111	132	0	0	129	0	327	0	0	1159	0
SCAF4	194.000000	125	0	0	620	0	791	0	0	210	0
DYRK1A	193.888889	95	0	525	198	0	224	76	0	627	0
PYCR2	193.666667	0	0	172	131	0	294	123	0	1023	0
PAXBP1	193.666667	0	0	216	389	0	369	165	0	604	0
CBFA2T2	193.222222	261	0	0	167	0	380	142	0	789	0
FHL2	193.000000	0	0	0	134	0	352	0	0	1251	0
LUC7L	192.777778	0	0	145	136	0	245	185	0	1024	0
FAM234A	192.777778	0	0	145	136	0	245	185	0	1024	0
DMPK	192.555556	0	0	320	0	0	305	130	0	978	0
ZNF44	192.444444	134	0	109	0	0	182	173	0	1134	0
SS18	192.444444	94	0	299	104	0	323	151	0	761	0
RENBP	192.444444	0	0	0	0	0	257	180	0	1295	0
PLA2G6	192.111111	132	0	122	0	0	139	0	0	1336	0
NAA20	192.111111	144	0	159	145	0	271	0	0	1010	0
PPP5C	191.888889	188	0	100	263	0	284	313	0	579	0
PPAT	191.888889	0	0	199	263	0	827	0	0	438	0
PAICS	191.888889	0	0	199	263	0	827	0	0	438	0
SERF2	191.666667	137	0	213	424	0	584	0	0	367	0
ERMP1	191.666667	174	0	168	253	0	157	414	0	559	0
ZNF721	191.555556	324	0	216	131	0	404	168	0	481	0
REL	191.555556	226	0	0	297	0	534	205	0	462	0
PIGG	191.555556	324	0	216	131	0	404	168	0	481	0
OTULIN	191.555556	90	0	143	629	0	253	117	0	492	0
POGLUT3	191.333333	0	0	0	509	0	1044	0	0	169	0
AP5S1	191.222222	217	0	0	0	0	244	443	122	695	0
EBAG9	191.000000	196	0	0	268	0	202	291	0	762	0
NAA50	190.888889	152	0	139	457	0	372	287	0	311	0
MARCHF9	190.888889	164	0	165	380	0	412	0	0	597	0
ATP6V1A	190.888889	152	0	139	457	0	372	287	0	311	0
TMEM59	190.777778	0	0	132	228	0	384	184	0	789	0
ZNF280B	190.555556	333	0	0	286	0	1096	0	0	0	0
COX5A	190.555556	121	0	161	418	0	479	0	0	536	0
PNKP	190.444444	0	0	0	693	0	93	426	0	502	0
AKT1S1	190.444444	0	0	0	693	0	93	426	0	502	0
THAP7	190.333333	0	0	172	189	0	1044	0	0	308	0
SLC26A8	190.222222	0	0	314	137	0	213	261	0	787	0
MAPK14	190.222222	0	0	314	137	0	213	261	0	787	0
HACD1	190.111111	0	0	0	0	0	0	0	0	1711	0
WDTC1	190.000000	0	0	122	144	0	376	0	0	1068	0
NFIB	189.666667	0	0	78	183	0	626	0	0	820	0
MRPL22	189.666667	177	0	167	283	0	235	0	0	845	0
MINK1	189.666667	79	0	104	527	0	254	126	0	617	0
GEMIN5	189.666667	177	0	167	283	0	235	0	0	845	0
SLC39A3	189.555556	0	0	191	203	0	403	0	0	909	0
GRK6	189.555556	0	0	180	0	0	183	126	0	1217	0
TMEM183A	189.444444	0	0	72	0	0	279	366	0	988	0
FAM166B	189.333333	0	0	0	0	0	0	226	0	1478	0
CCNT2	189.333333	0	0	300	165	0	405	273	0	561	0
PPP6C	189.222222	0	0	263	318	0	436	0	0	686	0
CABIN1	189.222222	141	151	147	161	0	205	158	0	740	0
SYNE2	189.000000	97	0	355	347	84	0	0	0	818	0
GPBP1	189.000000	177	0	126	208	0	171	140	0	879	0
FBXO46	189.000000	76	0	172	98	0	353	85	0	917	0
DIAPH1	188.888889	147	0	83	126	0	403	0	0	941	0
RPS19BP1	188.444444	0	0	275	200	0	139	212	0	870	0
SOWAHC	188.333333	178	0	0	379	0	0	161	0	977	0
SEPTIN10	188.333333	178	0	0	379	0	0	161	0	977	0
CDR2	188.333333	159	0	222	0	0	236	104	0	974	0
POMT2	188.222222	129	0	209	0	0	153	0	0	1203	0
GSTZ1	188.222222	129	0	209	0	0	153	0	0	1203	0
FUS	188.222222	113	0	80	447	0	423	175	0	456	0
PKN2	188.111111	0	0	109	237	0	193	0	0	1154	0
ARHGAP33	188.111111	192	0	0	153	0	491	0	0	857	0
ZFYVE26	188.000000	0	0	161	0	0	133	674	0	724	0
RAD51B	188.000000	0	0	161	0	0	133	674	0	724	0
ZFYVE27	187.666667	0	0	0	322	0	334	116	0	917	0
SLC25A10	187.555556	295	223	268	0	165	347	0	0	390	0
POLG	187.555556	0	0	161	372	0	227	198	0	730	0
MRPL12	187.555556	295	223	268	0	165	347	0	0	390	0
PRR19	187.444444	0	0	193	270	0	612	0	0	612	0
PAFAH1B3	187.444444	0	0	193	270	0	612	0	0	612	0
EXOSC5	187.333333	179	0	148	398	0	263	107	0	591	0
BCKDHA	187.333333	179	0	148	398	0	263	107	0	591	0
SPCS3	187.222222	141	0	234	199	0	277	230	0	604	0
PPP5D1	187.222222	0	0	117	92	0	354	125	0	997	0
CALM3	187.222222	0	0	117	92	0	354	125	0	997	0
ZNF488	187.111111	291	0	0	162	0	264	193	0	774	0
SAR1B	187.111111	0	0	296	231	0	604	0	0	553	0
TLE2	186.888889	0	0	139	139	0	356	126	0	922	0
STRN	186.888889	241	0	106	159	0	290	522	0	364	0
SAMHD1	186.888889	205	0	105	313	0	315	224	0	520	0
PIAS4	186.888889	182	155	147	220	0	419	0	0	559	0
HNRNPU	186.888889	128	0	0	196	0	588	0	0	770	0
ESRRA	186.888889	141	0	156	318	0	96	211	0	760	0
DHX37	186.888889	0	0	225	413	0	145	361	0	538	0
CATSPERZ	186.888889	141	0	156	318	0	96	211	0	760	0
BRI3BP	186.888889	0	0	225	413	0	145	361	0	538	0
TM2D1	186.777778	0	0	89	332	0	185	134	0	941	0
KBTBD2	186.777778	188	0	185	86	0	311	0	0	911	0
NAV2	186.666667	213	255	281	161	0	256	0	0	514	0
NF2	186.555556	183	0	109	0	0	205	252	0	930	0
ZNF57	186.444444	209	0	273	110	0	246	0	0	840	0
RXFP4	186.333333	0	0	164	279	0	231	400	0	603	0
KHDC4	186.333333	0	0	164	279	0	231	400	0	603	0
GXYLT1	186.333333	172	0	0	451	0	594	0	0	460	0
ZBTB25	186.222222	263	0	205	243	0	267	0	0	698	0
ZBTB1	186.222222	263	0	205	243	0	267	0	0	698	0
PMF1-BGLAP	186.222222	0	0	0	397	0	324	219	0	736	0
PMF1	186.222222	0	0	0	397	0	324	219	0	736	0
PIGU	186.222222	250	0	95	296	0	372	0	0	663	0
SP1	186.111111	0	0	165	80	0	124	384	0	922	0
DNAJC11	186.111111	136	0	210	247	0	673	127	0	282	0
ANKRD36C	186.111111	108	0	112	310	0	308	98	0	739	0
