Complex	HGNC ID (gene)	Approved symbol	Approved name	Previous symbols	Aliases	Chromosome
MTOR2	HGNC:24825	MLST8	MTOR associated protein, LST8 homolog		Lst8,Pop3,GBL,GbetaL	16p13.3
MTOR2	HGNC:3942	MTOR	mechanistic target of rapamycin kinase	FRAP,FRAP2,FRAP1	RAFT1,RAPT1,FLJ44809	1p36.22
MTOR2	HGNC:31682	PRR5	proline rich 5		PP610,FLJ20185k,Protor-1	22q13.31
MTOR2	HGNC:28611	RICTOR	RPTOR independent companion of MTOR complex 2		MGC39830,AVO3,PIA,KIAA1999	5p13.1
NCoR/SMRT	HGNC:4550	GPS2	G protein pathway suppressor 2			17p13.1
NCoR/SMRT	HGNC:4854	HDAC3	histone deacetylase 3		RPD3,HD3,RPD3-2,KDAC3	5q31.3
NCoR/SMRT	HGNC:7672	NCOR1	nuclear receptor corepressor 1		N-CoR,hCIT529I10,TRAC1,hN-CoR,KIAA1047,MGC104216,PPP1R109	17p12-p11.2
NCoR/SMRT	HGNC:7673	NCOR2	nuclear receptor corepressor 2		SMRT,SMRTE,TRAC-1,CTG26,TNRC14	12q24.31
NCoR/SMRT	HGNC:11585	TBL1X	transducin beta like 1 X-linked	TBL1	EBI	Xp22.31-p22.2
NCoR/SMRT	HGNC:29529	TBL1XR1	TBL1X receptor 1		IRA1,FLJ12894,TBLR1,C21,DC42	3q26.32
NDC80	HGNC:16909	NDC80	NDC80 kinetochore complex component	KNTC2	HEC,HEC1,hsNDC80,TID3	18p11.32
NDC80	HGNC:14621	NUF2	NUF2 component of NDC80 kinetochore complex	CDCA1	NUF2R,CT106	1q23.3
NDC80	HGNC:26913	SPC24	SPC24 component of NDC80 kinetochore complex	SPBC24	FLJ90806	19p13.2
NDC80	HGNC:24031	SPC25	SPC25 component of NDC80 kinetochore complex	SPBC25	MGC22228,AD024	2q31.1
NFKB	HGNC:7794	NFKB1	nuclear factor kappa B subunit 1		KBF1,p105,NFKB-p50,p50,NF-kappaB,NFkappaB,NF-kB1	4q24
NFKB	HGNC:7795	NFKB2	nuclear factor kappa B subunit 2		LYT-10,p52,p105,NF-kB2,p49/p100	10q24.32
NFKB	HGNC:9954	REL	REL proto-oncogene, NF-kB subunit		I-Rel,c-Rel	2p16.1
NFKB	HGNC:9955	RELA	RELA proto-oncogene, NF-kB subunit	NFKB3	p65	11q13.1
NFKB	HGNC:9956	RELB	RELB proto-oncogene, NF-kB subunit		REL-B	19q13.32
NOLA	HGNC:14264	GAR1	GAR1 ribonucleoprotein	NOLA1		4q25
NOLA	HGNC:14377	NHP2	NHP2 ribonucleoprotein	NOLA2	FLJ20479	5q35.3
NOLA	HGNC:14378	NOP10	NOP10 ribonucleoprotein	NOLA3	NOP10P,MGC70651	15q14
NOLA	HGNC:2890	DKC1	dyskerin pseudouridine synthase 1	DKC	XAP101,dyskerin,NAP57,NOLA4,Cbf5	Xq28
NSL	HGNC:4839	HCFC1	host cell factor C1	HFC1,MRX3	HCF-1,HCF1,CFF,VCAF,MGC70925,PPP1R89	Xq28
NSL	HGNC:24565	KANSL1	KAT8 regulatory NSL complex subunit 1	KIAA1267	DKFZP727C091,MSL1v1,CENP-36,NSL1	17q21.31
NSL	HGNC:26024	KANSL2	KAT8 regulatory NSL complex subunit 2	C12orf41	FLJ20436,NSL2	12q13.11
NSL	HGNC:25473	KANSL3	KAT8 regulatory NSL complex subunit 3	KIAA1310	FLJ10081,Rcd1,NSL3	2q11.2
NSL	HGNC:17933	KAT8	lysine acetyltransferase 8	MYST1	MOF,FLJ14040,hMOF,ZC2HC8	16p11.2
NSL	HGNC:6960	MCRS1	microspherule protein 1		ICP22BP,MSP58,P78,MCRS2,INO80Q	12q13.12
NSL	HGNC:8127	OGT	O-linked N-acetylglucosamine (GlcNAc) transferase		O-GLCNAC,HRNT1,MGC22921,FLJ23071,OGT1	Xq13.1
NSL	HGNC:16098	PHF20	PHD finger protein 20	C20orf104	dJ1121G12.1,TDRD20A	20q11.22-q11.23
NSL	HGNC:12757	WDR5	WD repeat domain 5		SWD3,CFAP89	9q34.2
NURD	HGNC:1918	CHD3	chromodomain helicase DNA binding protein 3		Mi-2a,ZFH,Mi2-ALPHA	17p13.1
NURD	HGNC:1919	CHD4	chromodomain helicase DNA binding protein 4		Mi-2b,Mi2-BETA	12p13.31
NURD	HGNC:16816	CHD5	chromodomain helicase DNA binding protein 5			1p36.31
NURD	HGNC:4852	HDAC1	histone deacetylase 1	RPD3L1	HD1,GON-10,KDAC1	1p35.2-p35.1
NURD	HGNC:4853	HDAC2	histone deacetylase 2		RPD3,YAF1,KDAC2	6q21
NURD	HGNC:6917	MBD2	methyl-CpG binding domain protein 2			18q21.2
NURD	HGNC:6918	MBD3	methyl-CpG binding domain protein 3			19p13.3
NURD	HGNC:7410	MTA1	metastasis associated 1			14q32.33
NURD	HGNC:7411	MTA2	metastasis associated 1 family member 2	MTA1L1	MTA1-L1	11q12.3
NURD	HGNC:23784	MTA3	metastasis associated 1 family member 3		KIAA1266	2p21
NURD	HGNC:9887	RBBP4	RB binding protein 4, chromatin remodeling factor		RbAp48,NURF55,lin-53	1p35.1
NURD	HGNC:9890	RBBP7	RB binding protein 7, chromatin remodeling factor		RbAp46	Xp22.2
NURF	HGNC:3581	BPTF	bromodomain PHD finger transcription factor	FALZ	FAC1,NURF301	17q24.2
NURF	HGNC:9887	RBBP4	RB binding protein 4, chromatin remodeling factor		RbAp48,NURF55,lin-53	1p35.1
NURF	HGNC:9890	RBBP7	RB binding protein 7, chromatin remodeling factor		RbAp46	Xp22.2
NURF	HGNC:11097	SMARCA1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1	SNF2L1,SNF2L	SNF2LB,NURF140,ISWI,SWI,hSNF2L	Xq25-q26.1
ORC	HGNC:8487	ORC1	origin recognition complex subunit 1	ORC1L	HSORC1,PARC1	1p32.3
ORC	HGNC:8488	ORC2	origin recognition complex subunit 2	ORC2L		2q33.1
ORC	HGNC:8489	ORC3	origin recognition complex subunit 3	ORC3L	IMAGE50150,LATHEO	6q15
ORC	HGNC:8490	ORC4	origin recognition complex subunit 4	ORC4L	HsORC4,Orc4p	2q23.1
ORC	HGNC:8491	ORC5	origin recognition complex subunit 5	ORC5L	Orc5p,ORC5T,PPP1R117	7q22.1-q22.2
ORC	HGNC:17151	ORC6	origin recognition complex subunit 6	ORC6L		16q11.2
PAF1	HGNC:16783	CDC73	cell division cycle 73	C1orf28,HRPT2,HRPT1	parafibromin,FIHP	1q31.2
PAF1	HGNC:16850	CTR9	CTR9 homolog, Paf1/RNA polymerase II complex component	SH2BP1	KIAA0155,TSBP,p150TSP	11p15.4
PAF1	HGNC:30401	LEO1	LEO1 homolog, Paf1/RNA polymerase II complex component			15q21.2
PAF1	HGNC:25459	PAF1	PAF1 homolog, Paf1/RNA polymerase II complex component		PD2,F23149_1,FLJ11123	19q13.2
PAF1	HGNC:28996	RTF1	RTF1 homolog, Paf1/RNA polymerase II complex component	KIAA0252		15q15.1
PAF1	HGNC:30300	WDR61	WD repeat domain 61		REC14	15q25.1
PBAF	HGNC:132	ACTB	actin beta			7p22.1
PBAF	HGNC:24124	ACTL6A	actin like 6A		Actl6,BAF53A,Arp4,Baf53a,INO80K	3q26.33
PBAF	HGNC:160	ACTL6B	actin like 6B	ACTL6	BAF53B	7q22.1
PBAF	HGNC:18037	ARID2	AT-rich interaction domain 2		KIAA1557,DKFZp686G052,FLJ30619,BAF200	12q12
PBAF	HGNC:14310	BRD7	bromodomain containing 7		CELTIX1,BP75	16q12.1
PBAF	HGNC:30064	PBRM1	polybromo 1		BAF180,PB1	3p21.1
PBAF	HGNC:18250	PHF10	PHD finger protein 10		FLJ10975,XAP135,BAF45a	6q27
PBAF	HGNC:11100	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	SNF2L4	hSNF2b,BRG1,BAF190,SNF2,SWI2,SNF2-BETA,SNF2LB,FLJ39786	19p13.2
PBAF	HGNC:11103	SMARCB1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	SNF5L1	BAF47,Ini1,Snr1,hSNFS,Sfh1p,RDT,PPP1R144,SNF5	22q11.23
PBAF	HGNC:11104	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1		BAF155,SRG3,Rsc8,CRACC1	3p21.31
PBAF	HGNC:11105	SMARCC2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2		BAF170,Rsc8,CRACC2	12q13.2
PBAF	HGNC:11106	SMARCD1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1		BAF60A,Rsc6p,CRACD1	12q13.12
PBAF	HGNC:11107	SMARCD2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2		BAF60B,Rsc6p,CRACD2,PRO2451	17q23.3
PBAF	HGNC:11108	SMARCD3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3		BAF60C,Rsc6p,CRACD3	7q36.1
PBAF	HGNC:11109	SMARCE1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1		BAF57	17q21.2
PDH	HGNC:2896	DLAT	dihydrolipoamide S-acetyltransferase	DLTA	PDC-E2,E2	11q23.1
PDH	HGNC:2898	DLD	dihydrolipoamide dehydrogenase	LAD,GCSL	DLDH,E3,OGDC-E3	7q31.1
PDH	HGNC:8806	PDHA1	pyruvate dehydrogenase E1 subunit alpha 1	PDHA		Xp22.12
PDH	HGNC:8808	PDHB	pyruvate dehydrogenase E1 subunit beta		PDHE1B	3p14.3
PDH	HGNC:21350	PDHX	pyruvate dehydrogenase complex component X		E3BP,proX,PDX1,OPDX,DLDBP	11p13
PIK4KA	HGNC:24587	FAM126A	family with sequence similarity 126 member A		DRCTNNB1A,HCC,HYCC1,hyccin	7p15.3
PIK4KA	HGNC:28593	FAM126B	family with sequence similarity 126 member B		MGC39518,HYCC2	2q33.1
PIK4KA	HGNC:8983	PI4KA	phosphatidylinositol 4-kinase alpha	PIK4CA	PI4K-ALPHA,pi4K230	22q11.21
PIK4KA	HGNC:19750	TTC7A	tetratricopeptide repeat domain 7A	TTC7	KIAA1140	2p21
PIK4KA	HGNC:19858	TTC7B	tetratricopeptide repeat domain 7B	TTC7L1		14q32.11
PIK3C3	HGNC:19962	ATG14	autophagy related 14	KIAA0831	ATG14L	14q22.3
PIK3C3	HGNC:1034	BECN1	beclin 1		ATG6,VPS30	17q21.31
PIK3C3	HGNC:19692	NRBF2	nuclear receptor binding factor 2		DKFZp564C1664,FLJ30395,COPR1,COPR2	10q21.3
PIK3C3	HGNC:8974	PIK3C3	phosphatidylinositol 3-kinase catalytic subunit type 3		Vps34	18q12.3
PIK3C3	HGNC:8982	PIK3R4	phosphoinositide-3-kinase regulatory subunit 4		VPS15,p150	3q22.1
PIK3C3	HGNC:28991	RUBCN	rubicon autophagy regulator	KIAA0226	rubicon,rundataxin	3q29
PIK3C3	HGNC:20420	RUBCNL	rubicon like autophagy enhancer	C13orf18,KIAA0226L	FLJ21562,PACER	13q14.13
PIK3C3	HGNC:12640	UVRAG	UV radiation resistance associated		VPS38	11q13.5
PRC2	HGNC:3188	EED	embryonic ectoderm development		WAIT-1,HEED	11q14.2
PRC2	HGNC:3526	EZH1	enhancer of zeste 1 polycomb repressive complex 2 subunit		KIAA0388,KMT6B	17q21.2
PRC2	HGNC:3527	EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit		EZH1,ENX-1,KMT6,KMT6A	7q36.1
PRC2	HGNC:9887	RBBP4	RB binding protein 4, chromatin remodeling factor		RbAp48,NURF55,lin-53	1p35.1
PRC2	HGNC:9890	RBBP7	RB binding protein 7, chromatin remodeling factor		RbAp46	Xp22.2
PRC2	HGNC:17101	SUZ12	SUZ12 polycomb repressive complex 2 subunit		JJAZ1,KIAA0160,CHET9	17q11.2
PRP19	HGNC:975	BCAS2	BCAS2 pre-mRNA processing factor		DAM1,SPF27,Snt309	1p13.2
PRP19	HGNC:1743	CDC5L	cell division cycle 5 like		PCDC5RP,hCDC5,CEF1,CDC5	6p21.1
PRP19	HGNC:15879	CTNNBL1	catenin beta like 1	C20orf33	FLJ21108,P14L,P14,NAP,NYD-SP19	20q11.23
PRP19	HGNC:26939	CWC15	CWC15 spliceosome associated protein homolog		C11orf5,HSPC148,Cwf15,AD002	11q21
PRP19	HGNC:9089	PLRG1	pleiotropic regulator 1		PRL1,Prp46,PRPF46,Cwc1,TANGO4	4q31.3
PRP19	HGNC:17896	PRPF19	pre-mRNA processing factor 19	PRP19	UBOX4,NMP200,PSO4,hPSO4,SNEV	11q12.2
PTEFB	HGNC:1596	CCNK	cyclin K		CPR4	14q32.2
PTEFB	HGNC:1599	CCNT1	cyclin T1	HIVE1	CCNT,CYCT1	12q13.11-q13.12
PTEFB	HGNC:1600	CCNT2	cyclin T2			2q21.3
PTEFB	HGNC:1780	CDK9	cyclin dependent kinase 9	CDC2L4	PITALRE,C-2k,TAK	9q34.11
PTEFB	HGNC:24953	HEXIM1	HEXIM P-TEFb complex subunit 1		CLP-1,HIS1,MAQ1,EDG1	17q21.31
PTEFB	HGNC:28591	HEXIM2	HEXIM P-TEFb complex subunit 2		FLJ32384	17q21.31
PTF1	HGNC:23734	PTF1A	pancreas associated transcription factor 1a		PTF1-p48,bHLHa29,p48	10p12.2
PTF1	HGNC:5724	RBPJ	recombination signal binding protein for immunoglobulin kappa J region	IGKJRB1,RBPSUH	SUH,IGKJRB,RBPJK,KBF2,RBP-J,CBF1	4p15.2
PTF1	HGNC:13761	RBPJL	recombination signal binding protein for immunoglobulin kappa J region like	RBPSUHL	RBP-L,SUH,SUHL	20q13.12
R2SP	HGNC:25210	PIH1D2	PIH1 domain containing 2			11q23.1
R2SP	HGNC:10474	RUVBL1	RuvB like AAA ATPase 1		TIP49,NMP238,RVB1,TIP49a,Pontin52,ECP54,TIH1,Rvb1,INO80H	3q21.3
R2SP	HGNC:10475	RUVBL2	RuvB like AAA ATPase 2		RVB2,TIP48,TIP49b,Reptin52,ECP51,TIH2,INO80J,Rvb2	19q13.33
R2SP	HGNC:11212	SPAG1	sperm associated antigen 1		SP75,FLJ32920,HSD-3.8,TPIS,CT140,CILD28	8q22.2
R2TP	HGNC:26075	PIH1D1	PIH1 domain containing 1	NOP17	FLJ20643,Pih1,MOT48	19q13.33
R2TP	HGNC:26151	RPAP3	RNA polymerase II associated protein 3		FLJ21908,spag,hSpagh,Tah1	12q13.11
R2TP	HGNC:10474	RUVBL1	RuvB like AAA ATPase 1		TIP49,NMP238,RVB1,TIP49a,Pontin52,ECP54,TIH1,Rvb1,INO80H	3q21.3
R2TP	HGNC:10475	RUVBL2	RuvB like AAA ATPase 2		RVB2,TIP48,TIP49b,Reptin52,ECP51,TIH2,INO80J,Rvb2	19q13.33
RISC	HGNC:3263	AGO2	argonaute RISC catalytic component 2	EIF2C2,CASC7	hAGO2,Q10,LINC00980	8q24.3
RISC	HGNC:17098	DICER1	dicer 1, ribonuclease III	MNG1	Dicer,KIAA0928,K12H4.8-LIKE,HERNA	14q32.13
RISC	HGNC:11569	TARBP2	TARBP2 subunit of RISC loading complex		Trbp	12q13.13
SAGA	HGNC:10560	ATXN7	ataxin 7	SCA7	OPCA3,ADCAII,SGF73	3p14.1
SAGA	HGNC:25416	ATXN7L3	ataxin 7 like 3		DKFZp761G2113	17q21.31
SAGA	HGNC:24449	ENY2	ENY2 transcription and export complex 2 subunit		DC6,FLJ20480,Sus1	8q23.1
SAGA	HGNC:4201	KAT2A	lysine acetyltransferase 2A	GCN5L2	GCN5,PCAF-b	17q21.2
SAGA	HGNC:8638	KAT2B	lysine acetyltransferase 2B	PCAF	P/CAF,GCN5,GCN5L	3p24.3
SAGA	HGNC:25156	SGF29	SAGA complex associated factor 29	CCDC101	FLJ32446,TDRD29	16p11.2
SAGA	HGNC:11466	SUPT3H	SPT3 homolog, SAGA and STAGA complex component		SPT3,SPT3L	6p21.1
SAGA	HGNC:30632	SUPT7L	SPT7 like, STAGA complex subunit gamma		STAF65gamma,KIAA0764,SPT7L,STAF65	2p23.3
SAGA	HGNC:20596	SUPT20H	SPT20 homolog, SAGA complex component	C13orf19,FAM48A	SPT20,bA421P11.4,P38IP	13q13.3
SAGA	HGNC:30631	TADA1	transcriptional adaptor 1	TADA1L	STAF42,ADA1,hADA1,HFI1	1q24.1
SAGA	HGNC:30781	TADA2B	transcriptional adaptor 2B		MGC21874	4p16.1
SAGA	HGNC:19422	TADA3	transcriptional adaptor 3	TADA3L	FLJ20221,FLJ21329,ADA3,hADA3,NGG1	3p25.3
SAGA	HGNC:17305	TAF6L	TATA-box binding protein associated factor 6 like		PAF65A	11q12.3
SAGA	HGNC:11543	TAF10	TATA-box binding protein associated factor 10	TAF2H,TAF2A	TAFII30	11p15.4
SAGA	HGNC:11545	TAF12	TATA-box binding protein associated factor 12	TAF2J	TAFII20	1p35.3
SAGA	HGNC:12347	TRRAP	transformation/transcription domain associated protein		TR-AP,PAF400,Tra1	7q22.1
SAGA	HGNC:12621	USP22	ubiquitin specific peptidase 22	USP3L	KIAA1063	17p11.2
SCAR/WAVE	HGNC:24011	ABI2	abl interactor 2		ABI-2,AIP-1,ABI2B,AblBP3,argBPIA,SSH3BP2	2q33.2
SCAR/WAVE	HGNC:23057	BRK1	BRICK1 subunit of SCAR/WAVE actin nucleating complex	C3orf10	MDS027,HSPC300	3p25.3
SCAR/WAVE	HGNC:13759	CYFIP1	cytoplasmic FMR1 interacting protein 1		KIAA0068,P140SRA-1,SHYC	15q11.2
SCAR/WAVE	HGNC:13760	CYFIP2	cytoplasmic FMR1 interacting protein 2		PIR121	5q33.3
SCAR/WAVE	HGNC:7666	NCKAP1	NCK associated protein 1		Nap1,HEM2,NAP125	2q32.1
SCAR/WAVE	HGNC:12732	WASF1	WASP family member 1		WAVE1,SCAR1,KIAA0269,WAVE	6q21
SCF	HGNC:2551	CUL1	cullin 1			7q36.1
SCF	HGNC:9928	RBX1	ring-box 1		ROC1,RNF75,BA554C12.1	22q13.2
SCF	HGNC:10899	SKP1	S-phase kinase associated protein 1	SKP1A	EMC19,OCP2,TCEB1L,MGC34403,OCP-II,p19A	5q31.1
Scrible	HGNC:2900	DLG1	discs large MAGUK scaffold protein 1		SAP97,SAP-97,hdlg,DLGH1,dJ1061C18.1.1	3q29
Scrible	HGNC:6628	LLGL1	LLGL scribble cell polarity complex component 1	DLG4,LLGL,HUGL,HUGL-1	Lgl1,Mgl1	17p11.2
Scrible	HGNC:6629	LLGL2	LLGL scribble cell polarity complex component 2		HGL,Hugl-2	17q25.1
Scrible	HGNC:30377	SCRIB	scribble planar cell polarity protein		KIAA0147,SCRB1,Vartul	8q24.3
SET	HGNC:13233	ANP32A	acidic nuclear phosphoprotein 32 family member A	C15orf1	LANP,PP32,I1PP2A,PHAPI,MAPM,mapmodulin	15q23
SET	HGNC:587	APEX1	apurinic/apyrimidinic endodeoxyribonuclease 1	APEX	APE,REF1,HAP1,APX,APEN,REF-1,APE-1	14q11.2
SET	HGNC:5000	HMGB2	high mobility group box 2	HMG2		4q34.1
SET	HGNC:7849	NME1	NME/NM23 nucleoside diphosphate kinase 1		NM23,NM23-H1,NDPKA	17q21.33
SET	HGNC:10760	SET	SET nuclear proto-oncogene		PHAPII,2PP2A,IPP2A2,TAF-IBETA,IGAAD,TAF-I	9q34.11
SET	HGNC:12269	TREX1	three prime repair exonuclease 1	AGS1	DRN3	3p21.31
SF3A	HGNC:10765	SF3A1	splicing factor 3a subunit 1		SF3a120,SAP114,PRPF21,Prp21	22q12.2
SF3A	HGNC:10766	SF3A2	splicing factor 3a subunit 2		SF3a66,SAP62,PRPF11,Prp11	19p13.3
SF3A	HGNC:10767	SF3A3	splicing factor 3a subunit 3		SF3a60,SAP61,PRP9,PRPF9	1p34.3
SF3B	HGNC:18000	PHF5A	PHD finger protein 5A		MGC1346,SF3b14b,INI,bK223H9.2,Rds3,SAP14b,SF3B7	22q13.2
SF3B	HGNC:10768	SF3B1	splicing factor 3b subunit 1		SAP155,SF3b155,PRPF10,Prp10,Hsh155	2q33.1
SF3B	HGNC:10769	SF3B2	splicing factor 3b subunit 2		SAP145,SF3b1,Cus1,SF3b145	11q13.1
SF3B	HGNC:10770	SF3B3	splicing factor 3b subunit 3		SAP130,SF3b130,RSE1,KIAA0017	16q22.1
SF3B	HGNC:10771	SF3B4	splicing factor 3b subunit 4		SAP49,SF3b49,Hsh49	1q21.2
SF3B	HGNC:21083	SF3B5	splicing factor 3b subunit 5		SF3b10,MGC3133,Ysf3	6q24.2
SF3B	HGNC:30096	SF3B6	splicing factor 3b subunit 6		P14,SF3B14a,Ht006,CGI-110,SAP14a	2p23.3
Shelterin	HGNC:25070	ACD	ACD shelterin complex subunit and telomerase recruitment factor		Ptop,Pip1,Tpp1,Tint1	16q22.1
Shelterin	HGNC:17284	POT1	protection of telomeres 1		hPot1,DKFZp586D211	7q31.33
Shelterin	HGNC:11728	TERF1	telomeric repeat binding factor 1	TRBF1	PIN2,TRF1,TRF	8q21.11
Shelterin	HGNC:11729	TERF2	telomeric repeat binding factor 2	TRBF2	TRF2	16q22.1
Shelterin	HGNC:19246	TERF2IP	TERF2 interacting protein		RAP1	16q23.1
Shelterin	HGNC:11824	TINF2	TERF1 interacting nuclear factor 2		TIN2	14q12
SIN3	HGNC:4852	HDAC1	histone deacetylase 1	RPD3L1	HD1,GON-10,KDAC1	1p35.2-p35.1
SIN3	HGNC:4853	HDAC2	histone deacetylase 2		RPD3,YAF1,KDAC2	6q21
SIN3	HGNC:9887	RBBP4	RB binding protein 4, chromatin remodeling factor		RbAp48,NURF55,lin-53	1p35.1
SIN3	HGNC:9890	RBBP7	RB binding protein 7, chromatin remodeling factor		RbAp46	Xp22.2
SIN3	HGNC:10530	SAP18	Sin3A associated protein 18		SAP18p,2HOR0202,MGC27131	13q12.11
SIN3	HGNC:10532	SAP30	Sin3A associated protein 30			4q34.1
SIN3	HGNC:19353	SIN3A	SIN3 transcription regulator family member A		KIAA0700,DKFZP434K2235	15q24.2
SIN3	HGNC:19354	SIN3B	SIN3 transcription regulator family member B		KIAA0700	19p13.11
SIN3	HGNC:29545	SUDS3	SDS3 homolog, SIN3A corepressor complex component		SDS3,FLJ00052,SAP45	12q24.23
SMC5/6	HGNC:29897	NSMCE1	NSE1 homolog, SMC5-SMC6 complex component		NSE1	16p12.1
SMC5/6	HGNC:26513	NSMCE2	NSE2 (MMS21) homolog, SMC5-SMC6 complex SUMO ligase	C8orf36	FLJ32440,MMS21,NSE2,ZMIZ7	8q24.13
SMC5/6	HGNC:7677	NSMCE3	NSE3 homolog, SMC5-SMC6 complex component	NDNL2	HCA4,MAGEG1,MAGEL3,NSE3	15q13.1
SMC5/6	HGNC:25935	NSMCE4A	NSE4 homolog A, SMC5-SMC6 complex component	C10orf86	FLJ20003,bA500G22.3,NSE4A	10q26.13
SMC5/6	HGNC:20465	SMC5	structural maintenance of chromosomes 5	SMC5L1	KIAA0594	9q21.12
SMC5/6	HGNC:20466	SMC6	structural maintenance of chromosomes 6	SMC6L1	FLJ22116	2p24.2
Spliceosomal A	HGNC:24236	CCAR1	cell division cycle and apoptosis regulator 1		FLJ10590,CARP-1,CARP1	10q21.3
Spliceosomal A	HGNC:16930	CHERP	calcium homeostasis endoplasmic reticulum protein		ERPROT213-21,DAN16	19p13.11
Spliceosomal A	HGNC:18681	DDX46	DEAD-box helicase 46		KIAA0801,FLJ25329,PRPF5,Prp5	5q31.1
Spliceosomal A	HGNC:2738	DHX15	DEAH-box helicase 15	DDX15	HRH2,DBP1,PRP43,PrPp43p,PRPF43	4p15.2
Spliceosomal A	HGNC:5034	HNRNPAB	heterogeneous nuclear ribonucleoprotein A/B	HNRPAB	ABBP1,FLJ40338	5q35.3
Spliceosomal A	HGNC:5031	HNRNPA1	heterogeneous nuclear ribonucleoprotein A1	HNRPA1	hnRNP-A1,ALS20	12q13.13
Spliceosomal A	HGNC:16463	PRPF40A	pre-mRNA processing factor 40 homolog A	FNBP3	FLJ20585,FBP11,HYPA,NY-REN-6,HIP10,FBP-11,FLAF1,Prp40	2q23.3
Spliceosomal A	HGNC:17042	PUF60	poly(U) binding splicing factor 60		FIR,SIAHBP1,RoBPI	8q24.3
Spliceosomal A	HGNC:9902	RBM5	RNA binding motif protein 5		LUCA15,LUCA-15,H37	3p21.31
Spliceosomal A	HGNC:9896	RBM10	RNA binding motif protein 10		DXS8237E,KIAA0122,GPATC9,ZRANB5,GPATCH9,S1-1	Xp11.3
Spliceosomal A	HGNC:16944	RBM17	RNA binding motif protein 17		SPF45,MGC14439	10p15.1
Spliceosomal A	HGNC:23244	RBM25	RNA binding motif protein 25	RNPC7	S164,fSAP94,NET52,Snu71	14q24.2
Spliceosomal A	HGNC:12950	SF1	splicing factor 1	ZNF162	ZFM1,ZCCHC25	11q13.1
Spliceosomal A	HGNC:16900	SMNDC1	survival motor neuron domain containing 1		SPF30,SMNR,TDRD16C	10q25.2
Spliceosomal A	HGNC:18643	SUGP1	SURP and G-patch domain containing 1	SF4	F23858,DKFZp434E2216,RBP	19p13.11
Spliceosomal A	HGNC:22964	THRAP3	thyroid hormone receptor associated protein 3		TRAP150,BCLAF2	1p34.3
Spliceosomal A	HGNC:12453	U2AF1	U2 small nuclear RNA auxiliary factor 1	U2AFBP	U2AF35,RNU2AF1,RN	21q22.3
Spliceosomal A	HGNC:23156	U2AF2	U2 small nuclear RNA auxiliary factor 2		U2AF65	19q13.42
Spliceosomal A	HGNC:30855	U2SURP	U2 snRNP associated SURP domain containing		fSAPa,SR140	3q23
Spliceosomal B	HGNC:29513	AQR	aquarius intron-binding spliceosomal factor		KIAA0560,fSAP164,IBP160	15q14
Spliceosomal B	HGNC:29629	BUD31	BUD31 homolog	G10	YCR063W,EDG-2,EDG2,fSAP17,Cwc14	7q22.1
Spliceosomal B	HGNC:15762	CRNKL1	crooked neck pre-mRNA splicing factor 1		CRN,CLF,SYF3,Clf1	20p11.23
Spliceosomal B	HGNC:2738	DHX15	DEAH-box helicase 15	DDX15	HRH2,DBP1,PRP43,PrPp43p,PRPF43	4p15.2
Spliceosomal B	HGNC:5958	IK	IK cytokine		RED,RER	5q31.3
Spliceosomal B	HGNC:29201	ISY1	ISY1 splicing factor homolog		KIAA1160,fSAP33	3q21.3
Spliceosomal B	HGNC:7032	MFAP1	microfibril associated protein 1		AMP	15q15.3
Spliceosomal B	HGNC:9258	PPIE	peptidylprolyl isomerase E		CyP-33,MGC3736,MGC111222	1p34.2
Spliceosomal B	HGNC:9260	PPIL1	peptidylprolyl isomerase like 1		CYPL1	6p21.2
Spliceosomal B	HGNC:9330	PQBP1	polyglutamine binding protein 1	RENS1,MRXS8,SHS,MRX55,MRX2,MRXS3		Xp11.23
Spliceosomal B	HGNC:25930	PRPF38A	pre-mRNA processing factor 38A		FLJ14936,Prp38	1p32.3
Spliceosomal B	HGNC:25503	RBM22	RNA binding motif protein 22		FLJ10290,ZC3H16,fSAP47,Cwc2	5q33.1
Spliceosomal B	HGNC:18247	SMU1	SMU1 DNA replication regulator and spliceosomal factor		SMU-1,FLJ10805,BWD,fSAP57	9p21.1
Spliceosomal B	HGNC:16696	SNW1	SNW domain containing 1	SKIIP	NCoA-62,SKIP,Prp45,PRPF45,Bx42,SKIP1,FUN20	14q24.3
Spliceosomal B	HGNC:17165	TFIP11	tuftelin interacting protein 11		TIP39,DKFZP434B194,Spp382	22q12.1
Spliceosomal B	HGNC:12739	WBP4	WW domain binding protein 4		FBP21,MGC117310	13q14.11
